"state of a vacancy and an interstitial""",Theory for supersolid : Vacancy condensation facilitated by a low-energy bound state of a vacancy and an interstitial,X Dai,28,100.00%,33.33%
"""Particle-hole asymmetry in doped Mott insulators: implications for tunneling and photoe-",Particle-hole asymmetry in doped Mott insulators: implications for tunneling and photoemission spectroscopies,M Randeria R Sensarma N Trivedi,100,81.82%,75.00%
"mission spectroscopics""",Overview of the far ultraviolet spectroscopic explorer mission,,694,50.00%,12.50%
Charge Ordered RVB States in the Doped Cuprates,Charge Ordered RVB States in the Doped Cuprates,,0,100.00%,100.00%
"""Resonant spin Hall conductance in quantum Hall systems lacking bulk and structural inversion",Resonant spin Hall conductance in quantum Hall systems lacking bulk and structural inversion symmetry,SQ Shen,60,92.31%,85.71%
"symmetry""",Metallic phase with long-range orientational order and no translational symmetry,D Gratias,7096,0.00%,0.00%
"""Gossamer Superconductivity near Antiferromagnetic Mott Insulator in Layered Organic",Gossamer superconductivity near antiferromagnetic Mott insulator in layered organic conductors,Y Chen,76,33.33%,30.00%
"Conductors""",Magnetism from conductors and enhanced nonlinear phenomena,JB Pendry,8178,0.00%,0.00%
Theory of gossamer and resonating valence bond superconductivity,Theory of Gossamer and resonating valence bond superconductivity,,36,87.50%,87.50%
Directional Ordering of Fluctuation in a Two-Dimensional Compass Model,Directional ordering of fluctuations in a two-dimensional compass model,LH Tang,71,44.44%,44.44%
Dynamically generated dimension reduction and crossover in a spin orbital model,Dynamically generated dimension reduction and crossover in a spin-orbital model,,2,81.82%,90.00%
"""Resonant spin Hall conductance in two-dimensional electron systems with a Rashba in-",Resonant spin Hall conductance in two-dimensional electron systems with a Rashba interaction in a perpendicular magnetic field,SQ Shen,173,100.00%,58.82%
"teraction in a perpendicular magnetic field""",Two-dimensional electron-hole fluid in a strong perpendicular magnetic field: exciton Bose condensate or maximum density two-dimensional droplet,TM Rice,222,66.67%,23.53%
"""The physics behind high-temperature superconducting cuprates: the """"plain vanilla"""" version",The physics behind high-temperature superconducting cuprates: the 'plain vanilla'version of RVB,M Randeria,586,60.00%,54.55%
"of RVB""",Bone formation in vivo: comparison of osteogenesis by transplanted mouse and human marrow stromal fibroblasts,,527,50.00%,6.67%
Theory for spin and orbital ordering in high temperature phase in Y V O3,Theory for spin and orbital orderings in high-temperature phases in ,,14,50.00%,70.00%
"""Gossamer superconductor, Mott insulator, and resonating valence bond state in correlated","Gossamer superconductor, Mott insulator, and resonating valence bond state in correlated electron systems",,136,90.91%,76.92%
"electron systems""",Note on an approximation treatment for many-electron systems,,12733,0.00%,0.00%
"""Spin wave theory for antiferromagnetic XXZ model on a triangular lattice in the presence of",Spin wave theory for antiferromagnetic  spin model on a triangle lattice in the presence of an external magnetic field,,25,80.00%,60.00%
"an external magnetic field""",A structural phase transition induced by an external magnetic field,Y Moritomo,754,75.00%,30.00%
On the origin of the psuedogap in underdoped cuprates,On the origin of the pseudogap in underdoped cuprates,TA Maier M Jarrell,2,88.89%,88.89%
"""Antiferromagnetic Heisenberg model on anisotropic triangular lattice in the presence of mag-",Antiferromagnetic Heisenberg model on an anisotropic triangular lattice in the presence of a magnetic field,SQ Shen,14,83.33%,66.67%
"netic field""",Interplanetary magnetic field and the auroral zones,,3350,0.00%,0.00%
Pathology of Schwinger bosn mean eld theory for Heisenberg spin models,Pathology of Schwinger boson mean-field theory for Heisenberg spin models,,9,72.73%,80.00%
Phase transition in insulating vanadium oxide,Phase transitions in insulating vanadium oxide,,1,83.33%,83.33%
